"Vehicle.Use","Anti.Theft.Device.Indicator","Body.Style","Electric_Vehicle_Indicator","Fleet.Vehicle.Indicator","Fuel.Type","Hybrid.Vehicle.Indicator","Make","Model","Model.Year","Municipality","Owner.Type","Region","Vehicle.Count"
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","RAV4 LIMITED HYBRID 4DR AWD",2023,"Okanagan Ir South","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","SUBARU","SOLTERRA 4DR AWD",2023,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","OUTBACK 2.5I PREMIER WAGON AWD",2021,"Revelstoke","Person","Southern Interior",1
"Personal","Yes","Twodoorcoupe","No","No","Gasoline","No","DODGE/RAM","CHALLENGER SXT 2DR AWD",2022,"Saanich","Person","Vancouver Island",1
"Personal","Yes","Fourdoorsedan","No","No","Gasolineelectric","Yes","TOYOTA","CAMRY SE HYBRID 4DR",2021,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","FORESTER 2.5I WILDERNESS WAGON AWD",2023,"Port Hardy","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","SORENTO LX PREMIUM 4DR AWD",2022,"Mission","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-5 SIGNATURE TURBO 4DR AWD",2019,"Vernon","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","VOLVO","XC90 RECHARGE ULTIMATE 4DR AWD",2024,"North Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","SIENNA XLE HYBRID",2022,"Maple Ridge","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","TOYOTA","COROLLA L 4DR",2020,"Courtenay","Person","Vancouver Island",1
"Personal","Yes","Hatchback","No","No","Gasolineelectric","Yes","TOYOTA","COROLLA CROSS SE HYBRID 4DR AWD",2023,"Victoria","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","Yes","TOYOTA","VENZA XLE HYBRID 4DR AWD",2021,"Furry Creek","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","AUDI","Q5 PROGRESSIV 45 2.0 TFSI 4DR AWD",2020,"Nanoose Bay","Person","Vancouver Island",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","HYUNDAI","SANTA FE PREFERRED 4DR AWD",2021,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HYUNDAI","PALISADE PREFERRED V6 4DR AWD",2021,"Malahat","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","FORD","ESCAPE SE HYBRID 4DR 2WD",2022,"Kelowna","Person","Southern Interior",1
"Personal","Yes","Twodoorconvertible","No","No","Gasoline","No","BMW","Z4 M40I ROADSTER",2020,"Langley","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","AUDI","E-TRON 55 TECHNIK 4DR SPORTBACK AWD",2022,"Belcarra","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","HONDA","ACCORD HYBRID 4DR",2020,"Vancouver","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","RAV4 XLE HEV 4DR AWD",2024,"Kelowna","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","INFINITI","QX50 LUXE 2.0T 4DR AWD",2019,"Colwood","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","GMC","YUKON SLE 4DR 4WD",2023,"Baldonnel","Person","North Central",1
"Personal","No","Fourdoorsedan","No","No","Gasoline","No","HONDA","CIVIC EX 4DR",2019,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","ROGUE S 4DR 2WD",2020,"Richmond","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","ROGUE SV 4DR AWD",2021,"Abbotsford","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","VOLKSWAGEN","TIGUAN HIGH R-LINE 2.0 TSI 4DR AWD",2022,"Maple Ridge","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","KIA","FORTE EX 4DR",2021,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","TOYOTA","COROLLA SE HYBRID 4DR AWD",2023,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","Yes","No","Electric","No","KIA","EV6 LONG RANGE 4DR AWD",2022,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HYUNDAI","KONA ULTIMATE 1.6T 4DR AWD",2019,"Spallumcheen","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","SORENTO EX+ TURBO 4DR AWD",2022,"Peachland","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MITSUBISHI","ECLIPSE CROSS ES 4DR AWD",2020,"Tobiano","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","COMPASS TRAILHAWK 4DR 4WD",2021,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","KIA","TELLURIDE SX V6 4DR AWD",2024,"Ubc","Person","Lower Mainland",1
"Personal","Yes","Twodoorcoupe","No","No","Gasoline","No","DODGE/RAM","CHALLENGER SXT 2DR",2019,"Port Coquitlam","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","QASHQAI S 4DR AWD",2021,"Delta","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasolineelectric","Yes","JEEP","WRANGLER SAHARA 4XE 4DR 4WD",2024,"Maple Ridge","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","OUTBACK 2.5I LIMITED WAGON AWD",2020,"Kimberley","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","ECOSPORT SE 4DR 4WD",2022,"Sidney","Person","Vancouver Island",1
"Personal","No","Fourdoorstationwagon","No","No","Gasoline","No","GMC","TERRAIN SLT 4DR AWD",2022,"Fort St John","Person","North Central",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HYUNDAI","TUCSON PREFERRED 4DR AWD",2024,"Esquimalt","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","HR-V SPORT 4DR AWD",2019,"Mission","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","GMC","YUKON XL DENALI 4DR 4WD",2021,"Port Moody","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HYUNDAI","SANTA FE PREFERRED 4DR AWD",2022,"Deroche","Person","Lower Mainland",1
"Personal","No","Fourdoorsedan","No","No","Gasoline","No","HONDA","CIVIC TOURING 4DR",2021,"Cranbrook","Person","Southern Interior",1
"Personal","Yes","Fourdoorsedan","No","No","Gasolineelectric","Yes","TOYOTA","COROLLA SE HYBRID 4DR AWD",2023,"Delta","Person","Lower Mainland",1
"Personal","Yes","Fourdoorsedan","No","No","Gasoline","No","ALFA","GIULIA TI 4DR AWD",2021,"Duncan","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","DODGE/RAM","GRAND CARAVAN SXT",2019,"Sechelt","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","FORD","ECOSPORT SE 4DR 4WD",2019,"Ta Ta Creek","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","HONDA","CR-V EX 4DR AWD",2019,"Blind Bay","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","Yes","PORSCHE","CAYENNE E-HYBRID 4DR AWD",2020,"Ubc","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","ROGUE S 4DR AWD",2020,"North Westside","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","JEEP","CHEROKEE LIMITED 4DR 4WD",2019,"Duncan","Person","Vancouver Island",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","CROSSTREK OUTDOOR 5DR AWD",2021,"Surrey","Person","Lower Mainland",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","ASCENT ONYX 4DR AWD",2023,"Coldstream","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","NISSAN","ROGUE PLATINUM 4DR AWD",2022,"Midway","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","MAZDA","CX-5 GS 4DR AWD",2019,"Popkum","Person","Lower Mainland",1
"Personal","Yes","Hatchback","No","No","Gasoline","No","NISSAN","KICKS SV 4DR 2WD",2021,"Fairmont Hot Springs","Person","Southern Interior",1
"Personal","Yes","Fourdoorstationwagon","No","No","Gasoline","No","SUBARU","OUTBACK 3.6R LIMITED WAGON AWD",2019,"Cultus Lake","Person","Lower Mainland",1
